date,total_onsite_units,expired_units,used_units,newly_added_units,ordered_units,non_expired_inventory,day_of_week,week_of_year,month,used_lag_1,used_lag_2,used_lag_7,used_lag_14,rolling_used_7d_total,rolling_used_7d_avg,rolling_used_30d_total,rolling_used_30d_avg,usage_7d_to_30d_ratio,days_until_stockout_est
2023-01-01,215,0,11,0,0,204,6,52,1,0,0,0,0,0.0,0.0,0.0,0.0,,
2023-01-02,204,0,8,0,0,196,0,1,1,11,0,0,0,11.0,11.0,11.0,11.0,0.9999999090909174,17.0
2023-01-03,196,0,8,0,0,188,1,1,1,8,11,0,0,19.0,9.5,19.0,9.5,0.9999998947368532,19.0
2023-01-04,188,0,13,0,0,175,2,1,1,8,8,0,0,27.0,9.0,27.0,9.0,0.9999998888889013,19.0
2023-01-05,175,0,13,0,0,162,3,1,1,13,8,0,0,40.0,10.0,40.0,10.0,0.99999990000001,16.0
2023-01-06,162,0,14,0,0,148,4,1,1,13,13,0,0,53.0,10.6,53.0,10.6,0.9999999056603863,13.0
2023-01-07,148,0,14,0,0,134,5,1,1,14,13,0,0,67.0,11.166666666666666,67.0,11.166666666666666,0.9999999104477693,11.0
2023-01-08,134,0,11,0,0,123,6,1,1,14,14,11,0,81.0,11.571428571428571,81.0,11.571428571428571,0.9999999135802544,10.0
2023-01-09,123,0,8,0,0,115,0,2,1,11,14,8,0,81.0,11.571428571428571,92.0,11.5,1.0062110926276069,9.0
2023-01-10,115,0,7,0,0,108,1,2,1,8,11,8,0,81.0,11.571428571428571,100.0,11.11111111111111,1.0414284777000085,9.0
2023-01-11,108,0,7,0,0,101,2,2,1,7,8,13,0,80.0,11.428571428571429,107.0,10.7,1.0680906878953964,8.0
2023-01-12,101,0,6,0,0,95,3,2,1,7,7,13,0,74.0,10.571428571428571,114.0,10.363636363636363,1.0200500268874035,8.0
2023-01-13,95,0,17,0,0,78,4,2,1,6,7,14,0,67.0,9.571428571428571,120.0,10.0,0.957142761428581,8.0
2023-01-14,78,0,14,0,184,64,5,2,1,17,6,14,0,70.0,10.0,137.0,10.538461538461538,0.948905019446969,6.0
2023-01-15,64,0,15,0,216,49,6,2,1,14,17,11,11,70.0,10.0,151.0,10.785714285714286,0.9271522319196606,4.0
2023-01-16,49,0,7,0,200,42,0,3,1,15,14,8,8,74.0,10.571428571428571,166.0,11.066666666666666,0.9552494833896767,3.0
2023-01-17,42,0,13,0,222,29,1,3,1,7,15,7,8,73.0,10.428571428571429,173.0,10.8125,0.9644920660420221,2.0
2023-01-18,213,0,9,184,0,204,2,3,1,13,7,7,13,79.0,11.285714285714286,186.0,10.941176470588236,1.0314899210850228,18.0
2023-01-19,420,0,14,216,0,406,3,3,1,9,13,6,13,81.0,11.571428571428571,195.0,10.833333333333334,1.0681317695350894,35.0
2023-01-20,606,0,11,200,0,595,4,3,1,14,9,17,14,89.0,12.714285714285714,209.0,11.0,1.155844050767424,46.0
2023-01-21,817,0,8,222,0,809,5,3,1,11,14,14,14,83.0,11.857142857142858,220.0,11.0,1.0779219799291708,68.0
2023-01-22,809,1,10,0,0,798,6,3,1,8,11,15,11,77.0,11.0,228.0,10.857142857142858,1.0131578014196763,72.0
2023-01-23,798,1,18,0,0,779,0,4,1,10,8,7,8,72.0,10.285714285714286,238.0,10.818181818181818,0.9507802242376024,75.0
2023-01-24,779,0,11,0,0,768,1,4,1,18,10,13,7,83.0,11.857142857142858,256.0,11.130434782608695,1.0652900828617728,64.0
2023-01-25,768,0,6,0,0,762,2,4,1,11,18,9,7,81.0,11.571428571428571,267.0,11.125,1.0401283174202476,65.0
2023-01-26,762,0,11,0,0,751,3,4,1,6,11,14,6,78.0,11.142857142857142,273.0,10.92,1.0204080698213438,67.0
2023-01-27,751,1,8,0,0,742,4,4,1,11,6,11,17,75.0,10.714285714285714,284.0,10.923076923076923,0.980885222071876,69.0
2023-01-28,742,0,14,0,0,728,5,4,1,8,11,8,14,72.0,10.285714285714286,292.0,10.814814814814815,0.9510762329973543,70.0
2023-01-29,728,0,14,0,0,714,6,4,1,14,8,10,15,78.0,11.142857142857142,306.0,10.928571428571429,1.0196077498398137,64.0
2023-01-30,714,0,17,0,0,697,0,5,1,14,14,18,7,82.0,11.714285714285714,320.0,11.03448275862069,1.0616070466490042,59.0
2023-01-31,697,0,13,0,0,684,1,5,1,17,14,11,13,81.0,11.571428571428571,337.0,11.233333333333333,1.0300974072401632,59.0
2023-02-01,684,0,9,0,0,675,2,5,2,13,17,6,9,83.0,11.857142857142858,339.0,11.3,1.0493045847644489,56.0
2023-02-02,675,1,23,0,0,651,3,5,2,9,13,11,14,86.0,12.285714285714286,340.0,11.333333333333334,1.084033517795362,52.0
2023-02-03,651,2,10,0,0,639,4,5,2,23,9,8,11,98.0,14.0,355.0,11.833333333333334,1.1830984915691416,45.0
2023-02-04,639,0,10,0,0,629,5,5,2,10,23,14,8,100.0,14.285714285714286,352.0,11.733333333333333,1.2175323637655049,44.0
2023-02-05,629,0,14,0,0,615,6,5,2,10,10,14,10,96.0,13.714285714285714,349.0,11.633333333333333,1.17887832682585,44.0
2023-02-06,615,1,13,0,0,601,0,6,2,14,10,17,18,96.0,13.714285714285714,349.0,11.633333333333333,1.17887832682585,43.0
2023-02-07,601,0,19,0,0,582,1,6,2,13,14,13,11,92.0,13.142857142857142,348.0,11.6,1.1330048284355445,44.0
2023-02-08,582,1,12,0,0,569,2,6,2,19,13,9,6,98.0,14.0,356.0,11.866666666666667,1.1797751814796196,40.0
2023-02-09,569,2,16,0,0,551,3,6,2,12,19,23,11,101.0,14.428571428571429,360.0,12.0,1.202380852182548,38.0
2023-02-10,551,0,12,0,0,539,4,6,2,16,12,10,8,94.0,13.428571428571429,369.0,12.3,1.0917536859201418,40.0
2023-02-11,539,0,12,0,0,527,5,6,2,12,16,10,14,96.0,13.714285714285714,374.0,12.466666666666667,1.1000763059526264,38.0
2023-02-12,527,0,15,0,0,512,6,6,2,12,12,14,14,98.0,14.0,380.0,12.666666666666666,1.105263070637126,36.0
2023-02-13,512,0,10,0,0,502,0,7,2,15,12,13,17,99.0,14.142857142857142,378.0,12.6,1.1224488905085914,35.0
2023-02-14,502,0,19,0,0,483,1,7,2,10,15,19,13,96.0,13.714285714285714,374.0,12.466666666666667,1.1000763059526264,35.0
2023-02-15,483,0,16,0,0,467,2,7,2,19,10,12,9,96.0,13.714285714285714,378.0,12.6,1.088435287765907,34.0
2023-02-16,467,0,19,0,0,448,3,7,2,16,19,16,23,100.0,14.285714285714286,387.0,12.9,1.1074196262243923,31.0
2023-02-17,448,0,20,0,0,428,4,7,2,19,16,12,10,103.0,14.714285714285714,393.0,13.1,1.1232278313784643,29.0
2023-02-18,428,0,13,0,0,415,5,7,2,20,19,12,10,111.0,15.857142857142858,404.0,13.466666666666667,1.1775105207647776,26.0
2023-02-19,415,0,13,0,0,402,6,7,2,13,20,15,14,112.0,16.0,403.0,13.433333333333334,1.1910669088535801,25.0
2023-02-20,402,0,22,0,0,380,0,8,2,13,13,10,13,110.0,15.714285714285714,405.0,13.5,1.1640210777973805,24.0
2023-02-21,380,0,12,0,0,368,1,8,2,22,13,19,19,122.0,17.428571428571427,419.0,13.966666666666667,1.247868986685139,21.0
2023-02-22,368,0,7,0,0,361,2,8,2,12,22,16,12,115.0,16.428571428571427,421.0,14.033333333333333,1.170681966120389,21.0
2023-02-23,361,0,12,0,0,349,3,8,2,7,12,19,16,106.0,15.142857142857142,410.0,13.666666666666666,1.1080138562080455,23.0
2023-02-24,349,0,21,0,0,328,4,8,2,12,7,20,12,99.0,14.142857142857142,411.0,13.7,1.0323252635424731,23.0
2023-02-25,328,0,14,0,0,314,5,8,2,21,12,13,12,100.0,14.285714285714286,426.0,14.2,1.006036146456207,21.0
2023-02-26,314,0,16,0,0,298,6,8,2,14,21,13,15,101.0,14.428571428571429,429.0,14.3,1.0089909384322022,20.0
2023-02-27,298,0,19,0,0,279,0,9,2,16,14,22,10,104.0,14.857142857142858,437.0,14.566666666666666,1.0199410872220895,18.0
2023-02-28,279,0,15,0,0,264,1,9,2,19,16,12,19,101.0,14.428571428571429,442.0,14.733333333333333,0.9793147363748888,18.0
2023-03-01,264,0,18,0,0,246,2,9,3,15,19,7,16,104.0,14.857142857142858,443.0,14.766666666666667,1.0061269876534449,16.0
2023-03-02,246,1,13,0,0,232,3,9,3,18,15,12,19,115.0,16.428571428571427,444.0,14.8,1.1100385350360062,14.0
2023-03-03,232,0,16,0,0,216,4,9,3,13,18,21,20,116.0,16.571428571428573,444.0,14.8,1.1196910440363195,13.0
2023-03-04,216,0,15,0,0,201,5,9,3,16,13,14,13,111.0,15.857142857142858,451.0,15.033333333333333,1.0547987895129092,12.0
2023-03-05,201,0,19,0,0,182,6,9,3,15,16,16,13,112.0,16.0,443.0,14.766666666666667,1.0835213713190945,11.0
2023-03-06,182,0,14,0,0,168,0,10,3,19,15,19,22,115.0,16.428571428571427,452.0,15.066666666666666,1.0903918366048402,10.0
2023-03-07,168,2,7,0,0,159,1,10,3,14,19,15,12,110.0,15.714285714285714,456.0,15.2,1.0338345184507367,10.0
2023-03-08,159,1,19,0,0,139,2,10,3,7,14,18,7,102.0,14.571428571428571,449.0,14.966666666666667,0.9735920443988771,9.0
2023-03-09,139,0,18,0,0,121,3,10,3,19,7,13,12,103.0,14.714285714285714,455.0,15.166666666666666,0.9701726204909733,8.0
2023-03-10,121,0,14,0,226,107,4,10,3,18,19,16,21,108.0,15.428571428571429,454.0,15.133333333333333,1.0195090578675576,6.0
2023-03-11,107,0,13,0,226,94,5,10,3,14,18,15,14,106.0,15.142857142857142,456.0,15.2,0.996240535961619,6.0
